no,id,name,p_type,s_type,rarity,height,weight,ovr,a_ovr,hgt,str,spe,jmp,end,ins,dnk,ft,fg,tp,oiq,diq,drb,pss,reb,r_total,to_evo,from_evo,evo_age,evo_item,evo_ability,mega_evo,mega_x,mega_y,form,form_item,form_ability
305,305,Lairon,Steel,Rock,,35,265,29.33,19,29,39,31,29,50,48,45,53,36,22,9,28,33,26,68,546,306,304,21,,,,,,,,
306,306,Aggron,Steel,Rock,,83,794,42.61,38,69,44,36,34,50,58,53,63,40,26,23,42,38,31,76,683,,305,,,,10053,,,,,
306,10053,Mega Aggron,Steel,,,87,871,47.90,50,70,44,36,34,50,70,65,74,40,26,32,54,48,41,86,770,,,,,,,,,,,
307,307,Meditite,Fighting,Psychic,Common,24,25,25.87,16,15,24,41,39,50,23,25,28,31,18,24,15,36,28,38,435,308,,20,,,,,,,,
308,308,Medicham,Fighting,Psychic,,51,69,38.25,32,45,39,51,49,50,33,33,38,40,26,33,21,46,38,49,591,,307,,,,10054,,,,,
308,10054,Mega Medicham,Fighting,Psychic,,51,69,45.66,45,45,39,61,59,50,53,49,58,47,34,48,29,51,43,53,719,,,,,,,,,,,
309,309,Electrike,Electric,,Uncommon,24,34,25.35,15,15,29,43,42,50,25,27,31,42,28,17,13,27,21,30,440,310,,20,,,,,,,,
310,310,Manectric,Electric,,,59,89,40.87,35,53,44,63,61,50,40,39,46,55,44,25,15,38,31,41,645,,309,,,,10055,,,,,
310,10055,Mega Manectric,Electric,,,71,97,48.22,50,62,44,75,71,50,40,39,46,65,56,35,17,48,41,51,740,,,,,,,,,,,
311,311,Plusle,Electric,,Common,16,9,30.00,20,8,39,58,57,50,28,29,33,49,36,15,11,46,38,30,527,,,,,,,,,,,
312,312,Minun,Electric,,Common,16,9,30.01,20,8,39,58,57,50,23,25,28,45,32,10,15,51,43,35,519,,,,,,,,,,,
313,313,Volbeat,Bug,,Common,28,39,30.35,20,19,42,53,52,50,39,38,45,34,21,9,10,51,43,49,555,,,,,,,,,,,
314,314,Illumise,Bug,,Common,24,39,30.36,20,15,42,53,52,50,26,27,32,45,31,12,11,51,43,49,539,,,,,,,,,,,
315,315,Roselia,Grass,Poison,Rare,12,4,31.68,22,5,34,43,42,50,33,33,38,54,42,24,29,48,41,33,549,407,406,,shinystone,,,,,,,
316,316,Gulpin,Poison,,Common,16,23,24.82,15,8,44,31,29,50,24,26,30,32,19,16,23,35,27,37,431,317,,20,,,,,,,,
317,317,Swalot,Poison,,,67,176,40.12,34,59,56,38,37,50,39,38,45,45,31,19,28,50,42,52,629,,316,,,,,,,,,
318,318,Carvanha,Water,Dark,Uncommon,31,46,27.73,18,24,32,43,42,50,48,45,53,42,28,28,15,7,5,16,478,319,,21,,,,,,,,
319,319,Sharpedo,Water,Dark,,71,196,43.76,41,62,44,58,57,50,62,57,67,52,40,35,24,27,21,30,686,,318,,,,10070,,,,,
319,10070,Mega Sharpedo,Water,Dark,,98,287,50.80,55,71,44,63,61,50,70,65,74,57,46,46,28,41,33,46,795,,,,,,,,,,,
320,320,Wailmer,Water,,Pseudo,79,287,33.16,24,67,64,41,39,50,38,37,43,44,30,3,5,22,18,28,529,321,,21,,,,,,,,
321,321,Wailord,Water,,,571,877,44.94,43,89,73,41,39,50,48,45,53,50,38,18,27,31,23,33,658,,320,,,,,,,,,
322,322,Numel,Fire,Ground,Common,26,53,25.21,15,19,39,28,27,50,33,33,38,42,28,18,14,31,23,30,453,323,,20,,,,,,,,
323,323,Camerupt,Fire,Ground,,75,485,40.21,34,65,44,31,29,50,53,49,58,55,44,28,21,46,38,46,657,,322,,,,10087,,,,,
323,10087,Mega Camerupt,Fire,Ground,,98,707,47.29,48,71,44,16,19,50,62,57,67,69,60,42,39,61,53,58,768,,,,,,,,,,,
324,324,Torkoal,Fire,,Uncommon,20,177,32.61,23,11,44,16,19,50,45,43,51,49,36,21,55,43,36,68,587,,,,,,,,,,,
325,325,Spoink,Psychic,,Common,26,68,25.82,16,19,39,41,39,50,15,18,21,44,30,6,6,48,41,28,445,326,,19,,,,,,,,
326,326,Grumpig,Psychic,,,35,158,36.08,28,29,49,51,49,50,25,27,31,50,38,15,17,63,56,44,594,,325,,,,,,,,,
327,327,Spinda,Normal,,Common,43,11,29.76,20,37,39,41,39,50,33,33,38,40,26,10,12,38,31,41,508,,,,,,,,,,,
328,328,Trapinch,Ground,,Uncommon,28,33,20.51,11,19,32,6,9,50,53,49,58,33,20,14,11,31,23,33,441,329,,19,,,,,,,,
329,329,Vibrava,Ground,Dragon,,43,34,30.48,21,37,34,46,44,50,38,37,43,36,22,16,13,33,26,35,510,330,328,21,,,,,,,,
330,330,Flygon,Ground,Dragon,,79,181,43.99,41,67,49,61,59,50,53,49,58,47,34,20,17,48,41,51,704,,329,,,,,,,,,
331,331,Cacnea,Grass,,Common,16,113,23.67,14,8,34,28,27,50,45,43,51,49,36,15,14,27,21,30,478,332,,19,,,,,,,,
332,332,Cacturne,Grass,Dark,,51,171,36.69,29,45,44,38,37,50,60,55,65,59,48,20,19,38,31,41,650,,331,,,,,,,,,
333,333,Swablu,Normal,Flying,Uncommon,16,3,26.33,16,8,32,36,34,50,23,25,28,31,18,20,22,46,38,41,452,334,,21,,,,,,,,
334,334,Altaria,Dragon,Flying,,43,45,43.17,40,37,47,51,49,50,38,37,43,44,30,30,43,61,53,54,667,,333,,,,10067,,,,,
334,10067,Mega Altaria,Dragon,Fairy,,59,45,50.47,55,53,47,51,49,50,58,53,63,57,46,40,49,61,53,61,791,,,,,,,,,,,
335,335,Zangoose,Normal,,Uncommon,51,89,36.02,28,45,46,56,54,50,60,55,65,40,26,16,9,38,31,41,632,,,,,,,,,,,
336,336,Seviper,Poison,,Uncommon,106,116,36.03,28,71,46,43,42,50,53,49,58,54,42,2,3,38,31,41,623,,,,,,,,,,,
337,337,Lunatone,Rock,Psychic,Uncommon,39,370,33.36,24,33,53,46,44,50,30,31,36,52,40,8,12,51,43,44,573,,,,,,,,,,,
338,338,Solrock,Rock,Psychic,Uncommon,47,340,33.35,24,41,53,46,44,50,50,47,56,38,24,13,8,41,33,53,597,,,,,,,,,,,
339,339,Barboach,Water,Ground,Common,16,4,24.80,15,8,34,41,39,50,27,28,32,34,21,21,16,28,21,32,432,340,,19,,,,,,,,
340,340,Whiscash,Water,Ground,,35,52,36.75,29,29,59,41,39,50,42,40,47,46,33,29,27,44,36,48,610,,339,,,,,,,,,
341,341,Corphish,Water,,Common,24,25,23.96,14,15,31,28,27,50,43,41,48,36,22,24,13,22,18,44,462,342,,19,,,,,,,,
342,342,Crawdaunt,Water,Dark,,43,72,36.62,29,37,41,38,37,50,62,57,67,50,38,35,21,36,28,53,650,,341,,,,,,,,,
343,343,Baltoy,Ground,Psychic,Uncommon,20,47,25.13,15,11,29,38,37,50,23,25,28,31,18,11,20,43,36,38,438,344,,21,,,,,,,,
344,344,Claydol,Ground,Psychic,,59,238,42.05,37,53,39,48,47,50,38,37,43,44,30,13,35,68,61,59,665,,343,,,,,,,,,
345,345,Lileep,Rock,Grass,Common,39,53,27.74,18,33,42,19,21,50,23,25,29,41,27,6,20,52,44,50,482,346,,20,,,,,,,,
346,346,Cradily,Rock,Grass,,59,133,40.21,34,53,51,32,31,50,43,41,49,47,35,14,35,62,54,57,654,,345,,,,,,,,,
347,347,Anorith,Rock,Bug,Common,28,28,27.72,18,19,32,48,47,50,50,47,56,31,18,17,9,33,26,35,518,348,,20,,,,,,,,
348,348,Armaldo,Rock,Bug,,59,150,40.21,34,53,47,33,32,50,64,59,69,44,30,44,16,48,41,58,688,,347,,,,,,,,,
349,349,Feebas,Water,,Pseudo,24,16,21.41,11,15,19,51,49,50,10,13,16,16,6,6,6,36,28,16,337,350,,,prismscale,,,,,,,
350,350,Milotic,Water,,,244,357,47.26,48,81,54,51,50,50,33,33,38,54,42,8,28,70,63,51,706,,349,,,,,,,,,
351,351,Castform,Normal,,Common,12,2,29.80,20,5,44,46,44,50,38,37,43,44,30,20,20,43,36,46,546,,,,,,,,,10013 10014 10015,heatrock damprock icyrock,
351,10013,Castform (Sunny Form),Fire,,,12,2,29.80,20,5,44,46,44,50,38,37,43,44,30,20,20,43,36,46,546,,,,,,,,,10014 10015,damprock icyrock,
351,10014,Castform (Rainy Form),Water,,,12,2,29.80,20,5,44,46,44,50,38,37,43,44,30,20,20,43,36,46,546,,,,,,,,,10013 10015,heatrock icyrock,
351,10015,Castform (Snowy Form),Ice,,,12,2,29.80,20,5,44,46,44,50,38,37,43,44,30,20,20,43,36,46,546,,,,,,,,,10013 10014,heatrock damprock,
352,352,Kecleon,Normal,,Uncommon,39,49,33.65,25,33,39,31,29,50,48,45,53,40,26,16,18,68,61,46,603,,,,,,,,,,,
353,353,Shuppet,Ghost,,Common,24,5,24.73,15,15,31,33,32,50,40,39,46,41,27,19,17,20,17,28,455,354,,20,,,,,,,,
354,354,Banette,Ghost,,,43,28,39.41,33,37,41,43,42,50,60,55,65,48,35,36,32,40,32,44,660,,353,,,,10056,,,,,
354,10056,Mega Banette,Ghost,,,47,29,45.66,45,41,41,48,47,50,80,75,82,51,39,45,37,50,42,49,777,,,,,,,,,,,
355,355,Duskull,Ghost,,Uncommon,31,33,24.73,15,24,19,21,22,50,23,25,28,26,14,12,20,53,46,54,437,356,,,,,,,,,,
356,356,Dusclops,Ghost,,,63,68,37.04,30,56,29,21,22,50,38,37,43,40,26,16,30,72,66,66,612,477,355,,reapercloth,,,,,,,
357,357,Tropius,Grass,Flying,Rare,79,221,39.54,33,67,56,36,35,50,37,36,42,44,31,13,23,52,44,52,618,,,,,,,,,,,
358,358,Chimecho,Psychic,,Uncommon,24,2,32.20,23,15,47,43,42,50,28,29,33,52,40,13,23,53,46,51,565,,433,,,,,,,,,
359,359,Absol,Dark,,Rare,47,104,38.84,32,41,42,48,47,50,66,61,70,45,32,35,20,38,31,41,667,,,,,,10057,,,,,
359,10057,Mega Absol,Dark,,,47,108,48.32,50,41,42,68,64,50,74,69,77,59,48,44,40,38,31,41,786,,,,,,,,,,,
360,360,Wynaut,Psychic,,Common,24,31,22.82,13,15,54,19,21,50,14,17,20,22,11,7,28,32,25,34,369,202,,19,,,,,,,,
361,361,Snorunt,Ice,,Uncommon,28,37,24.34,14,19,34,36,34,50,28,29,33,36,22,11,11,33,26,35,437,362 478,,20,dawnstone,,,,,,,
362,362,Glalie,Ice,,,59,566,40.39,35,53,49,51,49,50,43,41,48,47,34,21,22,48,41,51,648,,361,,,,10074,,,,,
362,10074,Mega Glalie,Ice,,,83,772,48.24,50,69,49,61,59,50,62,57,67,60,50,24,27,48,41,51,775,,,,,,,,,,,
363,363,Spheal,Ice,Water,Common,31,87,22.52,13,24,44,21,22,50,23,25,28,38,24,6,10,33,26,35,409,364,,19,,,,,,,,
364,364,Sealeo,Ice,Water,,43,193,31.60,22,37,53,33,32,50,33,33,38,45,32,10,18,43,36,46,539,365,363,21,,,,,,,,
365,365,Walrein,Ice,Water,,55,332,41.08,36,49,59,43,42,50,43,41,48,52,40,16,31,53,46,54,667,,364,,,,,,,,,
366,366,Clamperl,Water,,Common,16,116,22.15,12,8,27,27,25,50,35,34,40,45,32,11,11,36,28,53,462,367 368,,,deepseatooth deepseascale,,,,,,,
367,367,Huntail,Water,,,67,60,38.78,32,59,37,37,35,50,55,50,60,52,40,25,18,46,38,59,661,,366,,,,,,,,,
368,368,Gorebyss,Water,,,71,50,38.76,32,62,37,37,35,50,45,42,50,58,48,23,16,46,38,59,646,,366,,,,,,,,,
369,369,Relicanth,Water,Rock,Uncommon,39,52,34.70,26,33,56,38,37,50,48,45,53,33,20,15,32,41,33,66,600,,,,,,,,,,,
370,370,Luvdisc,Water,,Common,24,19,28.30,18,15,31,59,58,50,18,21,23,31,18,13,14,41,33,38,463,,,,,,,,,,,
371,371,Bagon,Dragon,,Pseudo,24,93,23.51,14,15,32,36,34,50,40,39,46,31,18,15,15,17,15,41,444,372,,19,,,,,,,,
372,372,Shelgon,Dragon,,,43,244,32.00,23,37,42,36,34,50,50,47,56,40,26,18,20,33,26,58,573,373,371,22,,,,,,,,
373,373,Salamence,Dragon,Flying,,59,226,47.37,48,53,54,61,59,50,68,63,72,57,46,37,24,48,41,51,784,,372,,,,10089,,,,,
373,10089,Mega Salamence,Dragon,Flying,,71,248,53.15,58,62,54,70,66,50,72,67,75,60,50,43,29,53,46,66,863,,,,,,,,,,,
374,374,Beldum,Steel,Psychic,Pseudo,24,210,22.87,13,15,29,26,24,50,30,31,36,28,16,13,15,38,31,51,433,375,,19,,,,,,,,
375,375,Metang,Steel,Psychic,,47,446,33.23,24,41,39,36,34,50,40,39,46,38,24,16,20,48,41,58,570,376,374,22,,,,,,,,
376,376,Metagross,Steel,Psychic,,63,1213,47.29,48,56,49,46,44,50,68,63,72,52,40,39,36,53,46,66,780,,375,,,,10076,,,,,
,10076,Mega Metagross,Steel,Psychic,,63,1213,53.18,58,56,49,66,63,50,72,67,75,55,44,44,36,63,56,70,866,,,,,,,,,,,
377,377,Regirock,Rock,,Legendary,67,507,48.20,50,59,49,36,34,50,53,49,58,36,22,53,48,58,51,80,736,,,,,,,,,,,
378,378,Regice,Ice,,Legendary,71,386,48.23,50,62,49,36,34,50,28,29,33,54,42,35,35,90,85,58,720,,,,,,,,,,,
379,379,Registeel,Steel,,Legendary,75,452,48.20,50,65,49,36,34,50,40,39,46,45,32,34,41,79,74,70,734,,,,,,,,,,,
380,380,Latias,Dragon,Psychic,Legendary,55,88,49.49,53,49,49,66,63,50,43,41,48,57,46,20,43,72,66,54,767,,,,,,10062,,,,,
380,10062,Mega Latias,Dragon,Psychic,,71,115,55.25,60,62,49,66,63,50,53,49,58,67,58,24,47,79,74,63,862,,,,,,,,,,,
381,381,Latios,Dragon,Psychic,Legendary,79,132,49.50,53,67,49,66,63,50,48,45,53,64,54,28,20,63,56,51,777,,,,,,10063,,,,,
381,10063,Mega Latios,Dragon,Psychic,,91,154,55.26,60,70,49,66,63,50,66,61,70,74,66,38,28,68,61,58,888,,,,,,,,,,,
382,382,Kyogre,Water,,Mythical,177,776,55.23,60,77,56,56,54,50,53,49,58,70,62,26,39,75,70,54,849,,,,,,10077,,,,,
382,10077,Primal Kyogre,Water,,,386,948,60.10,66,84,56,56,54,50,74,69,77,80,74,29,41,82,77,54,957,,,,,,,,,,,
383,383,Groudon,Ground,,Mythical,138,2094,55.25,60,74,56,56,54,50,74,69,77,54,42,55,37,53,46,68,865,,,,,,10078,,,,,
383,10078,Primal Groudon,Ground,Fire,,197,2204,60.12,66,79,56,56,54,50,86,81,87,70,62,62,42,53,46,72,956,,,,,,,,,,,
384,384,Rayquaza,Dragon,Flying,Mythical,276,455,55.23,60,82,58,58,57,50,74,69,77,70,62,36,32,53,46,54,878,,,,,,10079,,,,,
384,10079,Mega Rayquaza,Dragon,Flying,,425,864,60.16,66,85,58,68,64,50,86,81,87,80,74,39,33,58,51,58,972,,,,,,,,,,,
385,385,Jirachi,Steel,Psychic,Pseudo,12,2,45.76,45,5,56,61,59,50,53,49,58,54,42,47,52,58,51,58,753,,,,,,,,,,,
386,386,Deoxys (Normal Forme),Psychic,,Mythical,67,134,50.88,55,59,34,80,76,50,74,69,77,70,62,32,36,33,26,35,813,,,,,,,,,10001 10002 10003,auroraticket,
386,10001,Deoxys (Attack Forme),Psychic,,,,,50.88,55,59,34,80,76,50,86,81,87,80,74,47,32,7,5,16,814,,,,,,,,,386 10002 10003,auroraticket,
386,10002,Deoxys (Defense Forme),Psychic,,,,,50.84,55,59,34,56,54,50,38,37,43,44,30,25,56,82,77,72,757,,,,,,,,,386 10001 10003,auroraticket,
386,10003,Deoxys (Speed Forme),Psychic,,,,,50.89,55,59,34,83,86,50,50,47,56,52,40,33,33,53,46,54,776,,,,,,,,,386 10001 10002,auroraticket,
387,387,Turtwig,Grass,,Rare,16,23,29.50,20,8,37,26,25,50,37,36,42,33,20,34,40,36,28,43,495,388,,19,,,,,,,,
388,388,Grotle,Grass,,,43,214,36.69,29,37,47,29,27,50,47,44,53,38,24,33,39,41,33,53,595,389,387,22,,,,,,,,
389,389,Torterra,Grass,Ground,,87,683,47.21,48,70,54,39,37,50,57,52,63,45,32,32,43,51,43,59,727,,388,,,,,,,,,
390,390,Chimchar,Fire,,Rare,20,14,29.57,20,11,31,41,40,50,32,32,37,40,25,35,27,30,23,32,486,391,,19,,,,,,,,
391,391,Monferno,Fire,Fighting,,35,49,36.65,29,29,41,51,50,50,42,40,47,46,33,36,26,34,27,36,588,392,390,22,,,,,,,,
392,392,Infernape,Fire,Fighting,,47,121,47.27,48,41,47,65,62,50,55,50,60,55,44,47,36,44,36,47,739,,391,,,,,,,,,
393,393,Piplup,Water,,Rare,16,12,29.54,20,8,36,31,29,50,28,29,34,41,27,35,34,36,29,37,484,394,,19,,,,,,,,
394,394,Prinplup,Water,,,31,51,36.67,29,24,41,36,34,50,36,35,41,47,35,40,36,46,39,45,585,395,393,22,,,,,,,,
395,395,Empoleon,Water,Steel,,67,186,47.28,48,59,51,41,39,50,46,43,51,57,47,42,36,59,51,54,726,,394,,,,,,,,,
396,396,Starly,Normal,Flying,Common,12,4,22.30,12,5,29,41,39,50,30,31,36,26,14,21,15,17,15,25,394,397,,19,,,,,,,,
397,397,Staravia,Normal,Flying,Uncommon,24,34,30.01,20,15,37,51,49,50,40,39,46,31,18,31,18,27,21,35,508,398,396,21,,,,,,,,
398,398,Staraptor,Normal,Flying,,47,55,42.09,37,41,51,61,59,50,62,57,67,36,22,39,25,38,31,46,685,,397,,,,,,,,,
399,399,Bidoof,Normal,,Common,20,44,20.99,11,11,39,26,25,50,25,27,31,28,16,13,13,27,21,30,382,400,,20,,,,,,,,
400,400,Bibarel,Normal,Water,,39,69,37.41,30,33,49,46,45,50,45,43,51,38,24,34,30,38,31,41,598,,399,,,,,,,,,
401,401,Kricketot,Bug,,Common,12,5,19.46,10,5,28,21,22,50,15,18,21,23,12,19,20,28,21,31,334,402,,19,,,,,,,,
402,402,Kricketune,Bug,,,39,56,35.15,27,33,48,43,42,50,45,43,51,38,24,26,30,34,26,36,569,,401,,,,,,,,,
403,403,Shinx,Electric,,Common,20,21,24.85,15,11,32,33,32,50,35,35,41,31,18,25,22,21,18,27,431,404,,19,,,,,,,,
404,404,Luxio,Electric,,,35,67,32.92,24,29,39,41,39,50,45,43,51,40,26,28,25,33,25,35,549,405,403,21,,,,,,,,
405,405,Luxray,Electric,,,55,93,43.07,39,49,49,46,44,50,62,57,67,52,40,34,28,48,40,51,717,,404,,,,,,,,,
406,406,Budew,Grass,Poison,Uncommon,8,3,24.14,14,3,29,38,37,50,18,21,23,36,22,17,17,43,36,28,418,315,,,luckyegg,,,,,,,
407,407,Roserade,Grass,Poison,,35,32,44.04,41,29,39,56,54,50,38,37,43,62,52,34,41,61,53,44,693,,315,,,,,,,,,
408,408,Cranidos,Rock,,Common,35,69,28.44,18,29,43,40,38,50,64,59,69,26,14,23,10,17,15,30,527,409,,20,,,,,,,,
409,409,Rampardos,Rock,,,63,226,40.29,35,56,55,40,38,50,80,75,82,42,28,38,15,33,26,41,699,,408,,,,,,,,,
410,410,Shieldon,Rock,Steel,Common,20,126,28.40,18,11,24,26,24,50,24,25,29,32,19,15,44,52,45,63,483,411,,20,,,,,,,,
411,411,Bastiodon,Rock,Steel,,51,330,40.27,35,45,39,26,24,50,29,29,34,34,21,18,53,75,70,74,621,,410,,,,,,,,,
412,412,Burmy,Bug,,Common,8,8,20.91,11,3,29,29,27,50,17,20,23,25,14,19,19,31,23,33,362,413 10004 10005 414,,19,,,,,,,,
413,413,Wormadam (Plant Cloak),Bug,Grass,Uncommon,20,14,33.46,25,11,39,29,27,50,32,32,38,47,34,24,41,61,53,53,571,,412,,,,,,,,,
413,10004,Wormadam (Sandy Cloak),Bug,Ground,Uncommon,20,14,33.44,25,11,39,29,27,50,42,40,48,40,26,38,37,51,43,59,580,,412,,,,,,,,,
413,10005,Wormadam (Trash Cloak),Bug,Steel,Uncommon,20,14,33.50,25,11,39,29,27,50,37,36,43,43,30,35,36,56,48,56,576,,412,,,,,,,,,
414,414,Mothim,Bug,Flying,Uncommon,35,51,33.59,25,29,44,44,42,50,50,46,55,52,40,25,17,33,26,35,588,,412,,,,,,,,,
415,415,Combee,Bug,Flying,Common,12,12,23.86,14,5,24,46,44,50,18,21,23,26,14,17,22,29,22,31,392,416,,20,,,,,,,,
416,416,Vespiquen,Bug,Flying,,47,85,38.16,31,41,44,31,29,50,43,41,48,47,34,24,33,59,52,58,634,,415,,,,,,,,,
417,417,Pachirisu,Electric,,Common,16,9,30.00,20,8,39,58,57,50,25,27,31,33,20,12,16,53,46,46,521,,,,,,,,,,,
418,418,Buizel,Water,,Common,28,65,26.29,16,19,37,53,52,50,35,35,41,40,26,12,8,17,15,28,468,419,,20,,,,,,,,
419,419,Floatzel,Water,,,43,74,40.92,35,37,51,68,64,50,55,51,61,49,36,32,20,33,26,38,671,,418,,,,,,,,,
420,420,Cherubi,Grass,,Common,16,7,22.55,13,8,32,28,27,50,20,23,26,41,27,16,15,35,27,33,408,421,,19,,,,,,,,
421,421,Cherrim,Grass,,,20,21,34.03,25,11,44,53,52,50,33,33,38,49,37,27,22,47,40,46,582,,420,,,,,,,,,
422,422,Shellos,Water,,Uncommon,12,14,27.75,18,5,47,28,26,50,27,28,32,39,25,22,34,39,32,34,468,423,,20,,,,,,,,
423,423,Gastrodon,Water,Ground,,35,66,40.37,35,29,60,30,29,50,44,42,50,51,39,35,48,49,42,45,643,,422,,,,,,,,,
424,424,Ambipom,Normal,,,47,45,43.55,40,41,47,68,64,50,53,49,58,40,26,38,29,41,34,44,682,,190,,,,,,,,,
425,425,Drifloon,Ghost,Flying,Uncommon,16,3,28.40,18,8,53,46,44,50,28,29,33,40,26,11,28,30,23,27,476,426,,21,,,,,,,,
426,426,Drifblim,Ghost,Flying,,47,33,42.54,38,41,68,51,49,50,43,41,48,50,38,19,49,35,28,32,642,,425,,,,,,,,,
427,427,Buneary,Normal,,Common,16,12,26.82,17,8,37,53,52,50,36,35,41,33,20,14,11,36,29,32,487,428,,20,,,,,,,,
428,428,Lopunny,Normal,,,47,73,40.20,34,41,42,63,61,50,41,39,46,38,24,28,17,56,49,52,647,,427,,,,10088,,,,,
428,10088,Mega Lopunny,Normal,Fighting,,51,62,47.38,48,45,42,75,71,50,69,64,72,38,24,44,22,56,49,56,777,,,,,,,,,,,
429,429,Mismagius,Ghost,,,35,10,43.56,40,29,39,63,61,50,33,33,38,55,44,38,33,61,53,41,671,,200,,,,,,,,,
430,430,Honchkrow,Dark,Flying,,35,60,42.36,38,29,56,46,45,50,64,59,69,55,44,45,39,34,27,36,698,,198,,,,,,,,,
431,431,Glameow,Normal,,Common,20,9,25.67,16,11,34,53,52,50,30,31,36,32,19,14,13,24,19,31,449,432,,20,,,,,,,,
432,432,Purugly,Normal,,,39,97,39.21,33,33,45,67,63,50,44,41,49,42,28,27,26,38,30,43,626,,431,,,,,,,,,
433,433,Chingling,Psychic,,Common,8,1,20.82,11,3,32,33,32,50,18,21,23,42,28,10,10,33,26,35,396,358,,,luckyegg,,,,,,,
434,434,Stunky,Poison,Dark,Common,16,42,26.85,17,8,41,48,46,50,34,34,40,31,19,20,17,28,21,34,471,435,,20,,,,,,,,
435,435,Skuntank,Poison,Dark,,39,84,39.84,34,33,57,53,51,50,49,46,55,44,31,31,31,39,31,45,646,,434,,,,,,,,,
436,436,Bronzor,Steel,Psychic,Common,20,133,22.97,13,11,38,19,21,50,15,18,20,23,12,11,21,51,44,53,407,437,,20,,,,,,,,
437,437,Bronzong,Steel,Psychic,,51,412,39.89,34,45,43,27,26,50,47,44,53,47,34,16,44,66,59,62,663,,436,,,,,,,,,
438,438,Bonsly,Rock,,Common,20,33,19.55,10,11,34,6,9,50,43,41,48,16,6,11,24,31,23,56,409,185,,19,,,,,,,,
439,439,Mime Jr.,Psychic,Fairy,Uncommon,24,29,25.88,16,15,19,41,39,50,15,18,21,44,30,12,11,53,46,33,447,122 122_f2,,21,icestone,,,,,,,
440,440,Happiny,Normal,,Uncommon,24,54,25.28,15,15,56,26,24,50,5,7,7,18,8,10,35,41,33,1,336,113,,,ovalstone,,,,,,,
441,441,Chatot,Normal,Flying,Uncommon,20,4,32.07,23,11,47,56,55,50,35,35,41,51,39,24,20,29,22,33,548,,,,,,,,,,,
442,442,Spiritomb,Ghost,Dark,Uncommon,39,238,36.26,29,33,34,28,27,50,49,45,54,51,39,24,30,62,55,60,641,,,,,,,,,,,
443,443,Gible,Dragon,Ground,Pseudo,28,45,24.48,15,19,38,32,30,50,38,37,43,31,18,17,10,31,23,33,450,444,,19,,,,,,,,
444,444,Gabite,Dragon,Ground,,55,124,35.72,28,49,43,52,50,50,48,45,53,36,22,22,12,36,28,44,590,445,443,22,,,,,,,,
445,445,Garchomp,Dragon,Ground,,75,209,47.29,48,65,59,62,60,50,66,61,70,47,34,33,16,51,43,56,773,,444,,,,10058,,,,,
445,10058,Mega Garchomp,Dragon,Ground,,75,209,53.49,58,65,59,57,55,50,82,77,84,60,50,50,28,56,48,62,883,,,,,,,,,,,
446,446,Munchlax,Normal,,Rare,24,232,25.18,15,15,65,1,4,50,45,43,51,31,18,12,24,51,43,30,483,143,,,soothebell,,,,,,,
447,447,Riolu,Fighting,,Rare,28,45,25.85,16,19,29,41,39,50,38,37,43,28,16,25,10,27,21,30,453,448,,,soothebell,,,,,,,
448,448,Lucario,Fighting,Steel,,37,119,43.92,41,29,44,56,54,50,58,53,63,59,48,46,36,43,36,46,721,,447,,,,10059,,,,,
448,10059,Mega Lucario,Fighting,Steel,,51,127,51.13,55,45,44,67,63,50,72,67,75,67,58,51,39,43,36,54,831,,,,,,,,,,,
449,449,Hippopotas,Ground,,Uncommon,31,109,27.79,18,24,43,27,25,50,39,37,44,30,17,16,30,29,22,50,483,450,,21,,,,,,,,
450,450,Hippowdon,Ground,,,79,661,43.00,39,67,59,34,33,50,59,53,64,43,29,20,38,44,37,63,693,,449,,,,,,,,,
451,451,Skorupi,Poison,Bug,Uncommon,31,27,27.28,17,24,29,43,42,50,28,29,33,26,14,16,16,36,28,54,468,452,,21,,,,,,,,
452,452,Drapion,Poison,Dark,,51,136,41.60,36,45,44,58,57,50,48,45,53,40,26,29,29,46,38,61,669,,451,,,,,,,,,
453,453,Croagunk,Poison,Fighting,Uncommon,28,51,28.83,19,19,33,36,34,50,33,33,39,41,27,31,23,27,21,30,477,454,,21,,,,,,,,
454,454,Toxicroak,Poison,Fighting,,51,98,42.20,37,45,50,53,52,50,56,51,61,49,37,36,26,41,33,44,684,,453,,,,,,,,,
455,455,Carnivine,Grass,,Uncommon,55,60,34.26,26,49,46,34,32,50,53,49,58,50,38,13,12,44,37,47,612,,,,,,,,,,,
456,456,Finneon,Water,,Common,16,15,25.84,16,8,34,44,42,50,27,28,33,35,22,13,17,39,31,38,461,457,,20,,,,,,,,
457,457,Lumineon,Water,,,47,53,37.88,31,41,44,56,55,50,37,36,43,43,30,16,21,51,44,49,616,,456,,,,,,,,,
458,458,Mantyke,Water,Flying,Common,39,143,27.96,18,33,32,36,34,50,13,16,18,40,26,2,5,68,61,35,469,226,,20,,,,,,,,
459,459,Snover,Grass,Ice,Uncommon,39,111,29.46,20,33,39,31,29,50,34,33,39,41,27,18,18,38,31,35,496,460,,21,,,,,,,,
460,460,Abomasnow,Grass,Ice,,87,299,44.09,41,70,53,41,39,50,49,45,54,51,39,27,26,51,43,49,687,,459,,,,10060,,,,,
460,10060,Mega Abomasnow,Grass,Ice,,106,408,50.64,55,71,53,26,24,50,67,62,71,64,55,48,42,61,53,59,806,,,,,,,,,,,
